Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Notes,Source,Category,Category Rank,Original URL,Best URL,Status,Matched URL,Profile Name,Slug,Root ID,Telegram Channels,Secondary URL,AI Research,AI Notes & Sources,Chain,USDT Support,USDT Type,Starknet Support,Starknet Type,Solana Support,Solana Type,AI Evidence URLs
Thala Labs,TRUE,,,,,,,,,,DeFi Superapp - DEX/AMM with stablecoin trading; likely supports USDT,,,,,https://www.thalalabs.xyz/,,,,,,@ThalaLabs,,TRUE,Major DeFi protocol on Aptos with Move Dollar stablecoin,Aptos,,,,,,,
Liquidswap,TRUE,,,,,,,,,,AMM DEX by Pontem - one of the biggest AMMs on Aptos; supports stable swaps,,,,,https://liquidswap.com/,,,,,,@PontemNetwork,,TRUE,Supports regular and stable swaps like Curve,Aptos,,,,,,,
Panora,TRUE,,,,,,,,,,Meta-DEX Aggregator providing best routes; likely routes USDT trades,,,,,https://panora.exchange/,,,,,,@PanoraExchange,,TRUE,One-stop trading hub for all DeFi needs,Aptos,,,,,,,
Hyperion,TRUE,,,,,,,,,,Hybrid Orderbook-AMM DEX - high performance trading,,,,,https://hyperion.xyz/,,,,,,@hyperaboringion_xyz,,TRUE,Volume grew 29x QoQ in 2025,Aptos,,,,,,,
Aave,TRUE,,,,,,,,,,First non-EVM Aave deployment; supports USDT lending,,,,,https://aptos.aave.com/,,,,,,@aave,,TRUE,Launched Aug 2025 with APT/USDC/USDT/sUSDe support,Aptos,TRUE,Native,,,,,
Aries Markets,TRUE,,,,,,,,,,Leading lending protocol; $200M+ in USDT deposits,,,,,https://ariesmarkets.xyz/,,,,,,@AriesMarkets,,TRUE,$600M total deposits; 70% stable assets,Aptos,TRUE,Native,,,,,
Echelon,TRUE,,,,,,,,,,Composable Move Money Market; lending protocol,,,,,https://echelon.market/,,,,,,@EchelonMarket,,TRUE,Efficient and secure money market on Aptos,Aptos,,,,,,,
Aptin Finance,TRUE,,,,,,,,,,Decentralized non-custodial liquidity market,,,,,https://aptin.io/,,,,,,@AptinLabs,,TRUE,Users can deposit or borrow,Aptos,,,,,,,
Echo Protocol,TRUE,,,,,,,,,,Bitcoin liquid staking and yield solutions,,,,,https://echo.xyz/,,,,,,@Echo_Protocol,,TRUE,BTCFi hub on Aptos; 2849 BTC staked,Aptos,,,,,,,
Merkle Trade,TRUE,,,,,,,,,,Leverage trading platform up to 1000x,,,,,https://merkle.trade/,,,,,,@MerkleTrade,,TRUE,$20B+ volume across 160K+ traders,Aptos,,,,,,,
LayerZero Bridge,TRUE,,,,,,,,,,Cross-chain bridge supporting USDT transfers,,,,,https://theaptosbridge.com/,,,,,,@LayerZero_Labs,,TRUE,Omnichain interoperability protocol,Aptos,TRUE,Bridged,,,,,
Stargate Finance,TRUE,,,,,,,,,,Omnichain bridge for stablecoin transfers,,,,,https://stargate.finance/,,,,,,@StargateFinance,,TRUE,Major cross-chain bridge,Aptos,TRUE,Bridged,,,,,
Wormhole,TRUE,,,,,,,,,,Cross-chain bridge supporting Aptos,,,,,https://www.wormhole.com/,,,,,,@wormholecrypto,,TRUE,Cross-chain movement protocol,Aptos,TRUE,Bridged,,,,,
Celer cBridge,TRUE,,,,,,,,,,Cross-chain bridge,,,,,https://cbridge.celer.network/,,,,,,@CelerNetwork,,TRUE,Multi-chain bridge solution,Aptos,TRUE,Bridged,,,,,
Petra Wallet,,,,,TRUE,,,,,,Official Aptos wallet by Aptos Labs,,,,,https://petra.app/,,,,,,@PetraWallet,,TRUE,Self-custodial wallet; independently audited,Aptos,,,,,,,
Pontem Wallet,,,,,,,,,,,First wallet for Aptos with DeFi integration,,,,,https://pontem.network/pontem-wallet,,,,,,@PontemNetwork,,TRUE,Native staking and swap features,Aptos,,,,,,,
Martian Wallet,,,,,,,,,,,Multi-chain Aptos wallet,,,,,https://martianwallet.xyz/,,,,,,@MartianWallet,,TRUE,Popular Aptos wallet,Aptos,,,,,,,
Nightly Wallet,,,,,,,,,,,Multichain wallet supporting Aptos,,,,,https://nightly.app/,,,,,,@NightlyConnect,,TRUE,Multichain metaverse wallet,Aptos,,,,,,,
Fewcha Wallet,,,,,,,,,,,Simple and elegant Aptos wallet,,,,,https://fewcha.app/,,,,,,@FewchaWallet,,TRUE,Easy to use wallet,Aptos,,,,,,,
MSafe (Momentum Safe),TRUE,,,,,,,,,,Multi-sig wallet for asset management,,,,,https://www.m-safe.io/,,,,,,@MomentumSafe,,TRUE,First multi-sig solution on Aptos,Aptos,,,,,,,
Cellana Finance,TRUE,,,,,,,,,,Innovative DEX with ve(3,,,,,3) model,,,,,,https://cellana.finance/,,,TRUE,DEX with advanced tokenomics,Aptos,,,,,,
