Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,Processed?,Final Status,Notes,Best URL,Best social,Secondary URL,AI Research,AI Notes & Sources,Chain,USDT Support,USDT Type,Starknet Support,Starknet Type,Solana Support,Solana Type,AI Evidence URLs
DApp World,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/dapp-world,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Jump.trade,,,,TRUE,,,,Marketplaces dapp on Aptos,https://dappradar.com/dapp/jump-trade,,,TRUE,Marketplaces from DappRadar,Aptos,,,,,,,
Galxe,,,,TRUE,,,,Social dapp on Aptos,https://dappradar.com/dapp/galxe,,,TRUE,Social from DappRadar,Aptos,,,,,,,
motoDEX,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/motodex,,,TRUE,Games from DappRadar,Aptos,,,,,,,
SushiSwap V3,TRUE,,,,,,,DeFi dapp on Aptos,https://dappradar.com/dapp/sushiswap-v3,,,TRUE,DeFi from DappRadar,Aptos,,,,,,,
KGeN,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/kgen,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Interport Finance,TRUE,,,,,,,DeFi dapp on Aptos,https://dappradar.com/dapp/interport-finance,,,TRUE,DeFi from DappRadar,Aptos,,,,,,,
GOQii,,,,TRUE,,,,Other dapp on Aptos,https://dappradar.com/dapp/goqii,,,TRUE,Other from DappRadar,Aptos,,,,,,,
IN - match3,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/in-match3,,,TRUE,Games from DappRadar,Aptos,,,,,,,
MegaPools,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/megapools,,,TRUE,Games from DappRadar,Aptos,,,,,,,
TapFlux,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/tapflux,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Ape.ing,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/apeing,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Call of Myth,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/call-of-myth,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Prompt Harvest,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/prompt-harvest,,,TRUE,Games from DappRadar,Aptos,,,,,,,
MineX,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/minex,,,TRUE,Games from DappRadar,Aptos,,,,,,,
CX Chain,,,,TRUE,,,,Other dapp on Aptos,https://dappradar.com/dapp/cx-chain,,,TRUE,Other from DappRadar,Aptos,,,,,,,
Jocc,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/jocc,,,TRUE,Games from DappRadar,Aptos,,,,,,,
HyperSui,,,,TRUE,,,,Other dapp on Aptos,https://dappradar.com/dapp/hypersui,,,TRUE,Other from DappRadar,Aptos,,,,,,,
GemHunt,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/gemhunt,,,TRUE,Games from DappRadar,Aptos,,,,,,,
SVERSE,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/sverse,,,TRUE,Games from DappRadar,Aptos,,,,,,,
CoinVs,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/coinvs,,,TRUE,Games from DappRadar,Aptos,,,,,,,
WoA | War of Art,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/war-of-art,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Scream AI,,,,TRUE,,,,Other dapp on Aptos,https://dappradar.com/dapp/scream-ai,,,TRUE,Other from DappRadar,Aptos,,,,,,,
Rivyu,,,,TRUE,,,,Other dapp on Aptos,https://dappradar.com/dapp/rivyu,,,TRUE,Other from DappRadar,Aptos,,,,,,,
Buinkers,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/buinkers,,,TRUE,Games from DappRadar,Aptos,,,,,,,
ChainEsport,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/chainesport,,,TRUE,Games from DappRadar,Aptos,,,,,,,
BattleDoge,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/battledoge,,,TRUE,Games from DappRadar,Aptos,,,,,,,
SPL,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/spl,,,TRUE,Games from DappRadar,Aptos,,,,,,,
GTA Crypto,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/gta-crypto,,,TRUE,Games from DappRadar,Aptos,,,,,,,
OneXfer,,,,TRUE,,,,Other dapp on Aptos,https://dappradar.com/dapp/onexfer,,,TRUE,Other from DappRadar,Aptos,,,,,,,
Illuvium: Overworld,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/illuvium-overworld,,,TRUE,Games from DappRadar,Aptos,,,,,,,
Stormhail Heroes,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/stormhail-heroes,,,TRUE,Games from DappRadar,Aptos,,,,,,,
DataHive AI,,,,TRUE,,,,Other dapp on Aptos,https://dappradar.com/dapp/datahive-ai,,,TRUE,Other from DappRadar,Aptos,,,,,,,
SolSo,,,,TRUE,,,,Games dapp on Aptos,https://dappradar.com/dapp/solso,,,TRUE,Games from DappRadar,Aptos,,,,,,,
