Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,Processed?,Final Status,Notes,Best URL,Best social,Secondary URL,AI Research,AI Notes & Sources,Chain,USDT Support,USDT Type,Starknet Support,Starknet Type,Solana Support,Solana Type,AI Evidence URLs
MEXC,TRUE,,,,,,,"CEX - TVL: $2,800,000,000",https://www.mexc.com,@MEXC_Global,,TRUE,CEX from DefiLlama,Aptos,,,,,,,
KuCoin,TRUE,,,,,,,"CEX - TVL: $2,400,000,000",https://www.kucoin.com,@kaboringucoin,,TRUE,CEX from DefiLlama,Aptos,,,,,,,
Portal,TRUE,,,,,,,"Bridge - TVL: $1,500,000,000",https://portal.exchange,@portal_hq,,TRUE,Bridge from DefiLlama,Aptos,,,,,,,
HashKey Exchange,TRUE,,,,,,,"CEX - TVL: $1,100,000,000",https://hashkey.com,@HashKeyExchange,,TRUE,CEX from DefiLlama,Aptos,,,,,,,
Ondo Yield Assets,TRUE,,,,,,,"RWA - TVL: $900,000,000",https://ondo.finance,@OndoFinance,,TRUE,RWA from DefiLlama,Aptos,,,,,,,
Joule Finance,TRUE,,,,,,,"Lending - TVL: $15,000,000",https://joule.finance,@JouleFinance,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Emojicoin.fun,,,,TRUE,,,,"Launchpad - TVL: $8,000,000",https://emojicoin.fun,@emojicoin_fun,,TRUE,Launchpad from DefiLlama,Aptos,,,,,,,
Sushi Aptos,TRUE,,,,,,,"Dexes - TVL: $2,500,000",https://sushi.com,@SushiSwap,,TRUE,Dexes from DefiLlama,Aptos,,,,,,,
Abel Finance,TRUE,,,,,,,"Lending - TVL: $2,000,000",https://abel.finance,@AbelFinance,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Propbase,TRUE,,,,,,,"RWA - TVL: $1,800,000",https://propbase.app,@PropbaseApp,,TRUE,RWA from DefiLlama,Aptos,,,,,,,
MoneyFi,TRUE,,,,,,,"Lending - TVL: $1,500,000",https://moneyfi.xyz,@MoneyFi_xyz,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Kofi Finance,,,,TRUE,,,,"Yield - TVL: $1,200,000",https://kofi.finance,@KofiFinance,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
MOAR Market,TRUE,,,,,,,"Lending - TVL: $1,000,000",https://moar.market,@MOARMarket,,TRUE,Lending from DefiLlama,Aptos,,,,,,,
Superposition,TRUE,,,,,,,"Dexes - TVL: $800,000",https://superposition.xyz,@superposition_x,,TRUE,Dexes from DefiLlama,Aptos,,,,,,,
Auro Finance,,,,TRUE,,,,"Yield - TVL: $600,000",https://auro.finance,@AuroFinance,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
StreamFlow,,,,TRUE,,,,"Payments - TVL: $500,000",https://streamflow.finance,@streamaboringflow_fi,,TRUE,Payments from DefiLlama,Aptos,,,,,,,
Earnium,,,,TRUE,,,,"Yield - TVL: $400,000",https://earnium.io,@EarniumIO,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
GoAPT,,,,TRUE,,,,"Yield - TVL: $300,000",https://goapt.xyz,@GoAPT_xyz,,TRUE,Yield from DefiLlama,Aptos,,,,,,,
Bridgers,TRUE,,,,,,,"Bridge - TVL: $200,000",https://bridgers.xyz,@BridgersXYZ,,TRUE,Bridge from DefiLlama,Aptos,,,,,,,
TrustAKE,,,,TRUE,,,,"Liquid Staking - TVL: $150,000",https://trustake.com,@TrustAKE,,TRUE,Liquid Staking from DefiLlama,Aptos,,,,,,,
