Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Crypto Royale,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://cryptoroyale.one,,https://x.com/CryptoRoyaleONE,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Greedy World,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://play.greedyworld.io,,https://twitter.com/greedyworldio,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
DOS L1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://doslabs.io/,,https://twitter.com/DOS_Labs,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
MetaDOS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://metados.com,,https://twitter.com/PlayMetaDOS,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Earniverse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://earniverse.io,,https://x.com/earniverse_io,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Providence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://playprovidence.io/,,https://x.com/PlayProvidence,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
MadSkullz,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://madskullz.io,,https://x.com/SkullzHQ,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
DeFi Kingdoms,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://defikingdoms.com,,https://x.com/DefiKingdoms,,Gaming,,,✅ Found,DeFi Kingdoms,1757,https://admin.thegrid.id/profiles/?rootId=1757,URL: urlMain,avalanche,https://core.app/discover/projects,Live,
Domi Online,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://domionline.io/,,https://x.com/domionline,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Gamer Arena,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://about.gamerarena.com/,,https://x.com/GAUtoken,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Tower,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.towera.xyz/,,https://x.com/Tower_Aion,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
Chikn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://chikn.farm,,https://x.com/chikn_nft,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
PLAYA3ULL GAMES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://playa3ull.games/,,https://twitter.com/PLAYA3ULL_GAMES,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
OOCAI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,http://www.oocai.fun/,,https://twitter.com/OOCAI_Official,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
mintNOW - No Code NFT Tool For Enterprise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://mintnow.web3tech.biz,,https://twitter.com/Web3tech_,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
Runblox,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://runblox.io,,https://x.com/runblox_io,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Degenverse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://linktr.ee/degenverse.cc,,https://twitter.com/degen_game,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Pegaxy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://pegaxy.io,,https://twitter.com/PegaxyOfficial,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
BetFury,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://betfury.tv/avalanche,,https://twitter.com/betfury_gaming,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Yay Games,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://play.yay.games/,,https://twitter.com/yayprotocol,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Pulsar; Pulsar Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://pulsar.game/; https://app.pulsar.finance/,,https://x.com/PulsarGame; https://x.com/PulsarFinance,,Gaming; Service Providers,,,❌ Not found; ✅ Found,Pulsar Finance,id1762284666-QbAtPOivRHaDdNaCbiB6kQ,https://admin.thegrid.id/profiles/?rootId=id1762284666-QbAtPOivRHaDdNaCbiB6kQ,Social Handle: Socials Lens - Twitter / X,avalanche,https://core.app/discover/projects,Live,
Shrapnel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.shrapnel.com/,,https://x.com/playSHRAPNEL,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Bloodloop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.bloodloop.org/,,https://x.com/BloodLoopGAME,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Gamic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://gamic.app,,https://x.com/mygamichq,,Gaming,,,✅ Found,Gamic,id1755007394-eCNC4cLkRBuwn3ZPux-71w,https://admin.thegrid.id/profiles/?rootId=id1755007394-eCNC4cLkRBuwn3ZPux-71w,URL: urlMain,avalanche,https://core.app/discover/projects,Live,
Petopia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://petopiagame.io,,https://twitter.com/PetopiaOfficial,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
GuildTech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://guildtech.mirailabs.co,,https://twitter.com/TheMiraiLabs,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Heroes Chained,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://heroeschained.com/,,https://twitter.com/HeroesChained,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
BetSwirl,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.betswirl.com,,https://x.com/BetSwirl,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Heroes of NFT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.heroesofnft.com/,,https://x.com/heroesofnft,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
RaceX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://racex.tech/,,https://x.com/DcrcAvax,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Portal Fantasy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://portalfantasy.io,,https://x.com/PortalFantasyio,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Paradise Tycoon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://paradisetycoon.com/,,https://x.com/paradisetycoon,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Openblox,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://openblox.io/,,https://twitter.com/OpenBlox_io,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Hatchy Verse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://hatchyverse.com/,,https://x.com/hatchyverse,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Cosmic Universe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://cosmicuniverse.io,,https://x.com/thecosmicguild,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
Arcade Galaxy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.arcadegalaxy.space,,https://x.com/arcadegalaxy_,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Cookout Club,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://cookoutclub.xyz,,https://twitter.com/cookoutclubxyz,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Beam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://onbeam.com/,,https://twitter.com/BuildOnBeam,,Gaming,,,✅ Found,Beam,1253,https://admin.thegrid.id/profiles/?rootId=1253,Name: Profile,avalanche,https://core.app/discover/projects,Live,
TSM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://blitz.gg/,,https://twitter.com/TSM,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
Aethir,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://aethir.com/,,https://twitter.com/AethirCloud,,Gaming,,,✅ Found,Aethir,1180,https://admin.thegrid.id/profiles/?rootId=1180,URL: urlMain,avalanche,https://core.app/discover/projects,Live,
AvaQuid Games,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://avaquidgamess.netlify.app/,,https://twitter.com/AvaQuidOnAVAX,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,In Development,
Awaken,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://playawaken.xyz,,https://twitter.com/PlayAwakenHQ,,Gaming,,,✅ Found,Awaken,id1743542989-TMb1YpyZR0G4CyZ5ofiCPg,https://admin.thegrid.id/profiles/?rootId=id1743542989-TMb1YpyZR0G4CyZ5ofiCPg,Name: Profile,avalanche,https://core.app/discover/projects,In Development,
DFK Chain L1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://defikingdoms.com/crystalvale,,https://twitter.com/DefiKingdoms,,Gaming,,,✅ Found,DeFi Kingdoms,1757,https://admin.thegrid.id/profiles/?rootId=1757,Social Handle: Socials Lens - Twitter / X,avalanche,https://core.app/discover/projects,Live,
Loco Legends L1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://locolegends.com/,,https://twitter.com/LegendsByLoco,,Gaming,,,❌ Not found,,,,,avalanche,https://core.app/discover/projects,Live,
