Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
3KDS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
3space Art,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
3KM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
A3: Still Alive,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
ABC Wallet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
ABGA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
AhnLab Blockchain Company,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Airbloc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Alchemist Republic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Alchemy Pay,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Alchemy Pay,id1753462300-6vw16vujRcOnHVhHbymdXw,https://admin.thegrid.id/profiles/?rootId=id1753462300-6vw16vujRcOnHVhHbymdXw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
All That Node,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,All That Node,id1749677065-eKC5ZJ2fSs-7K-2Z9Jj9Zw,https://admin.thegrid.id/profiles/?rootId=id1749677065-eKC5ZJ2fSs-7K-2Z9Jj9Zw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Alphawallet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
ALTAVA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Animoca Brands,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Animoca Brands,1143,https://admin.thegrid.id/profiles/?rootId=1143,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Animal Concerts,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Animal Punks V2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Another World,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
AQX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
ArcheWorld,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
ARTRA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Atomrigs Lab,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Avatara,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Banxa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Banxa,id1740141221-7UWi0pbpT2ScHVy1MZpbFw,https://admin.thegrid.id/profiles/?rootId=id1740141221-7UWi0pbpT2ScHVy1MZpbFw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Belt Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BICScan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BiFi X,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Binance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Binance,117,https://admin.thegrid.id/profiles/?rootId=117,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Binance Earn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BingX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,BingX,id1752811649-oTXYNbP5TlGotntM0JnCsQ,https://admin.thegrid.id/profiles/?rootId=id1752811649-oTXYNbP5TlGotntM0JnCsQ,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Biport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Birdie Shot,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Bisonai,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BIT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,BIT,id1753243594-zNaBJ6JiSLC14C8lBWBN5A,https://admin.thegrid.id/profiles/?rootId=id1753243594-zNaBJ6JiSLC14C8lBWBN5A,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bit2Me,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bit2Me,id1748266735-9AXe5iZUQNq9pNeqlFHPPA,https://admin.thegrid.id/profiles/?rootId=id1748266735-9AXe5iZUQNq9pNeqlFHPPA,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bitazza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BitBNS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bitbns,id1753328402-cgUcqCmtTnyUywYjLW_ecw,https://admin.thegrid.id/profiles/?rootId=id1753328402-cgUcqCmtTnyUywYjLW_ecw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
BitGet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bitget,id1741256256-ZaL3d75oTt-_sqduqaNv5w,https://admin.thegrid.id/profiles/?rootId=id1741256256-ZaL3d75oTt-_sqduqaNv5w,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bitget Wallet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bitget,id1741256256-ZaL3d75oTt-_sqduqaNv5w,https://admin.thegrid.id/profiles/?rootId=id1741256256-ZaL3d75oTt-_sqduqaNv5w,Name: Product,kaia,https://www.kaia.io/ecosystem,,
Bithumb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bithumb,id1769192507-qUj4G1QEQe25pocH3qWsTw,https://admin.thegrid.id/profiles/?rootId=id1769192507-qUj4G1QEQe25pocH3qWsTw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
BitMart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,BitMart,id1754461128-KAxhGYCITE-ZaYO0s1Uzag,https://admin.thegrid.id/profiles/?rootId=id1754461128-KAxhGYCITE-ZaYO0s1Uzag,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bitmex,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,BitMEX,id1748266704-JiuPNZwmSE-K9VMNQXEpkw,https://admin.thegrid.id/profiles/?rootId=id1748266704-JiuPNZwmSE-K9VMNQXEpkw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bitpanda,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bitpanda,id1758120818--Wu2bymxQWOpFm_aDiKFPA,https://admin.thegrid.id/profiles/?rootId=id1758120818--Wu2bymxQWOpFm_aDiKFPA,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bitpoint,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Bitrue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bitrue,id1752832618-ynSFlD2-TqCris2MuYGILQ,https://admin.thegrid.id/profiles/?rootId=id1752832618-ynSFlD2-TqCris2MuYGILQ,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bittrex,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Bitvavo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bitvavo,3749,https://admin.thegrid.id/profiles/?rootId=3749,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
BKEX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BlackSquad Classic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BlockFinex,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BlockJoy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Blockjoy,1357,https://admin.thegrid.id/profiles/?rootId=1357,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
BlockPI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,BlockPI,id1768599347-4nzW5oS6SRCeWlFllkqyjw,https://admin.thegrid.id/profiles/?rootId=id1768599347-4nzW5oS6SRCeWlFllkqyjw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
BlockPI Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BlockScout,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Blockscout,id1765231899-FLAzAGeFS1Gnk-gita6ipw,https://admin.thegrid.id/profiles/?rootId=id1765231899-FLAzAGeFS1Gnk-gita6ipw,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Bluewhale Protocol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Brave Nine,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Breakfirstfund,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BTCEX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BTSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
BTX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Bughole,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Bwarelabs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Bybit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Bybit,1362,https://admin.thegrid.id/profiles/?rootId=1362,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Cactus Custody,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Matrixport,id1766728152-1CkUWI7QRhik8ISWrGOCkw,https://admin.thegrid.id/profiles/?rootId=id1766728152-1CkUWI7QRhik8ISWrGOCkw,Name: Product,kaia,https://www.kaia.io/ecosystem,,
Cases by Kate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Cat Town Punks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Celer cBridge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
CertiK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Certik,1744,https://admin.thegrid.id/profiles/?rootId=1744,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Chain Light,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Chainge Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Chainflix,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
ChainSafe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,,,,❌ Not found,,,,,kaia,https://www.kaia.io/ecosystem,,
Chainspect,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Chainspect,id1759235876-m0UJV4g7RL6SIvg9PBNDMg,https://admin.thegrid.id/profiles/?rootId=id1759235876-m0UJV4g7RL6SIvg9PBNDMg,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
Chainstack,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,,,,✅ Found,Chainstack,id1741256277-b7oLhIMySqudNuaffPaZuA,https://admin.thegrid.id/profiles/?rootId=id1741256277-b7oLhIMySqudNuaffPaZuA,Name: Profile,kaia,https://www.kaia.io/ecosystem,,
