Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Aqua Wallet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://aquawallet.io/,,,,,,,✅ Found,Jan3,id1754469775--M27DtoYTXaHeh-z9UpVWw,https://admin.thegrid.id/profiles/?rootId=id1754469775--M27DtoYTXaHeh-z9UpVWw,Name: Product,liquid-network,https://liquid.net/users,,
Elements Project,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://github.com/ElementsProject/elements/releases,,,,,,,❌ Not found,,,,,liquid-network,https://liquid.net/users,,
Blockstream,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://blockstream.com/,,,,,,,✅ Found,Blockstream,id1753858349-z__XfTlpS7yaqrHi1oiw_w,https://admin.thegrid.id/profiles/?rootId=id1753858349-z__XfTlpS7yaqrHi1oiw_w,URL: urlMain,liquid-network,https://liquid.net/users,,
Jade,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://blockstream.com/jade/,,,,,,,❌ Not found,,,,,liquid-network,https://liquid.net/users,,
Vulpem Ventures,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://github.com/vulpemventures/marina,,,,,,,❌ Not found,,,,,liquid-network,https://liquid.net/users,,
Side Swap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://sideswap.io/,,,,,,,❌ Not found,,,,,liquid-network,https://liquid.net/users,,
Bullbit Coin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://wallet.bullbitcoin.com/,,,,,,,❌ Not found,,,,,liquid-network,https://liquid.net/users,,
Breez Technology,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://breez.technology/,,,,,,,❌ Not found,,,,,liquid-network,https://liquid.net/users,,
Alby,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://x.com/getAlby,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
Raretoshi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://raretoshi.com/,,https://x.com/raretoshi,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
Boltz,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://boltz.exchange/,,https://x.com/boltzhq,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
T(True)DEX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://tdex.network,,https://x.com/tdexnetwork,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
Seven Labs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://sevenlabs.io,,https://x.com/Sevenlabsio,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
JAN3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://jan3.com/,,https://x.com/JAN3com,,,,,✅ Found,Jan3,id1754469775--M27DtoYTXaHeh-z9UpVWw,https://admin.thegrid.id/profiles/?rootId=id1754469775--M27DtoYTXaHeh-z9UpVWw,URL: urlMain,liquid-network,https://community.liquid.net/c/ecosystem,,
Fuji Money,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://fuji.money/,,https://x.com/fuji_money,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
DIGTL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://digtl.co/,,https://x.com/DIGTLMarkets,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
Mifiel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.mifiel.com/,,https://x.com/mifielfirma,,,,,❌ Not found,,,,,liquid-network,https://community.liquid.net/c/ecosystem,,
