Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Meteor Wallet,,,,TRUE,,,,,,,https://meteorwallet.app/,https://twitter.com/MeteorWallet,@MeteorWallet; https://twitter.com/MeteorWallet,https://t.me/meteorwalletchat,Infrastructure; Wallet,,,❌ Not found,,,,,NEAR; near,wallet.near.org; NEARCatalog; Generic Scraper; NEARCatalog,The simple and secure wallet to manage your crypto; access DeFi; and explore NEAR,website-scan: scanned
Hot Wallet,,,,TRUE,,,,,,,,,,,,,,✅ Found,HOT Labs,id1761944970-8ZwQKvjTSaC2_B8g-CLDhw,https://admin.thegrid.id/profiles/?rootId=id1761944970-8ZwQKvjTSaC2_B8g-CLDhw,Name: Product,near,wallet.near.org; Generic Scraper,HOT Wallet is a mobile and browser extension wallet that unlocks and unifies NEAR with other blockchains,
Ethereum Wallet,,,,TRUE,,,,,,,,,,,,,,❌ Not found,,,,,near,wallet.near.org; Generic Scraper,Use any of your favorite EVM wallets seamlessly with NEAR Protocol,
HERE Wallet,TRUE,,,TRUE,TRUE,,,,,,https://herewallet.app/,https://x.com/here_wallet,@here_wallet; https://x.com/here_wallet,,Infrastructure; Mobile; Wallet,,,❌ Not found,,,,,NEAR; near,wallet.near.org; NEARCatalog; AwesomeNEAR; Generic Scraper; NEARCatalog; AwesomeNEAR,Mobile wallet for NEAR Protocol | [PROMOTED from website-scan] USDT keywords (usdt) | USDC keywords (usdc) | stablecoin mentions,website-scan: scanned | promoted: website-scan
Intear Wallet,,,,TRUE,,,,,,,https://intear.tech,https://twitter.com/intea_rs,@intea_rs; https://twitter.com/intea_rs,https://t.me/intearchat,Infrastructure; Wallet,,,❌ Not found,,,,,NEAR; near,wallet.near.org; NEARCatalog; Generic Scraper; NEARCatalog,Building the best web3 wallet | [PROMOTED from website-scan] SOL keywords (solana),website-scan: scanned | promoted: website-scan
Nightly Wallet,TRUE,,,,,,,,,,https://nightly.app/,https://twitter.com/Nightly_app,@Nightly_app; https://twitter.com/Nightly_app,https://t.me/+0GfPnsVD3IVlYTBk,Infrastructure; NEAR Intents; Wallet,,,Active; ✅ Found,Nightly,3408,https://nightly.app; https://admin.thegrid.id/profiles/?rootId=3408,url; URL: urlMain,NEAR; near,wallet.near.org; NEARCatalog; AwesomeNEAR; Generic Scraper; NEARCatalog; AwesomeNEAR,Cutting-edge; multichain crypto wallet | Grid confirms: USDT | (fuzzy dedup: merged from Nightly Wallet; Nightly) | [PROMOTED from website-scan] SOL keywords (solana),Grid: USDT (supported_by) | website-scan: scanned | promoted: website-scan
Sender Wallet,TRUE,,,TRUE,,,,,,,https://senderwallet.io/,https://x.com/SenderWallet,@SenderWallet; https://x.com/SenderWallet,https://t.me/SenderWallet,INFRASTRUCTURE; WALLETS,,,Live; ✅ Found,Sender Wallet; Sender Network,id1767779267-SlP11cjSTxeZiORwJHDnKA,https://www.sender.org; https://admin.thegrid.id/profiles/?rootId=id1767779267-SlP11cjSTxeZiORwJHDnKA,batch-name; Name: Product,NEAR; near,wallet.near.org; AwesomeNEAR; Generic Scraper; AwesomeNEAR,Browser extension wallet built on NEAR | [PROMOTED from website-scan] USDT keywords (usdt),website-scan: scanned | promoted: website-scan | Grid: Sender Wallet (product) [Wallet] | expanded-grid
Rhea Finance,,,,TRUE,,,,,,,https://www.rhea.finance/,https://x.com/rhea_finance,@rhea_finance; https://x.com/rhea_finance,https://t.me/rhea_finance,Dapp; NEAR Intents; Borrowing / Lending; Chain Abstraction; DEX,,,❌ Not found,,,,,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,The Chain-Abstracted Liquidity Solution | [PROMOTED from website-scan] SOL keywords (solana),website-scan: scanned | promoted: website-scan
NEAR Intents,TRUE,,,,TRUE,,,,,,https://app.near-intents.org/,https://x.com/NEARProtocol,@NEARProtocol; https://x.com/NEARProtocol,,Infrastructure; NEAR Intents; Bridge; Chain Abstraction; DEX,,,Active; ✅ Found,NEAR Intents; NEAR Protocol,id1770672784-l3kqkjgsSxOjT1KU9BrN2Q; id1751128320-Hy7-rDk-TeenVKccZmQSPQ,https://near-intents.org; https://admin.thegrid.id/profiles/?rootId=id1751128320-Hy7-rDk-TeenVKccZmQSPQ,name; Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,NEAR Intents is a protocol for multichain financial products that replaces centralized exchanges | NEAR DEX & Bridge | Supports USDT | Grid confirms: USDT; USDC; SOL; STRK; ADA | Supports USDT; Solana chain presence; Cardano chain presence,USDT: $217;797 | Grid: USDT (supported_by); USDC (supported_by); SOL (supported_by); STRK (supported_by); ADA (supported_by) | website-scan: scanned | USDT: $277;790 | SOL: $0 | ADA: $0
NEAR AI,,,,TRUE,,,,,,,https://near.ai/,https://x.com/near_ai,@near_ai; https://x.com/near_ai,https://t.me/nearaialpha,Infrastructure; NEAR AI; AI,,,Live; ✅ Found,NEAR AI; NEAR Protocol,id1751128320-Hy7-rDk-TeenVKccZmQSPQ,https://www.near.org; https://admin.thegrid.id/profiles/?rootId=id1751128320-Hy7-rDk-TeenVKccZmQSPQ,batch-name; Name: Product,NEAR; near,NEARCatalog,Building User-Owned AI,website-scan: scanned | Grid: NEAR AI (product) [Developer Tooling] | expanded-grid
