Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
xU3O8 | Uranium.io,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://uranium.io/,,https://x.com/uranium_io,,Etherlink; RWA,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,xU3O8 enables digital ownership and transfer of uranium; supported by Curzon; Archax; with physical uranium stored in Cameco.,
Datadog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.datadoghq.com/,,https://x.com/datadoghq,,Partner,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Provides the observability service for Tezos CI; providing monitoring of servers through their SaaS-based data analytics platform,
Stables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://www.playstables.io/,,https://x.com/playstables,,Community; NFTs; Gaming,,,✅ Found,Stables,id1753118697-7yXEzgzLR0SGjyl-YO_0OA,https://admin.thegrid.id/profiles/?rootId=id1753118697-7yXEzgzLR0SGjyl-YO_0OA,Name: Profile,tezos,https://tezos.com/ecosystem/,Get ready to saddle up and race into the Web3. #OwnPlayThrill with your digital horse.,
Skurpy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://skurpy.com/,,https://x.com/skurpysocial,,NFTs,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Skurpy is a social media & NFT marketplace built on Tezos – post; chat; buy & sell all in one place.,
BattleTabs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://battletabs.com/,,https://twitter.com/BattleTabs,,Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Play an innovative take on battleships with your friends,
Battlerise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.battlerise.com/,,https://twitter.com/BattleRiseGame,,Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,An innovative rogue-like RPG with NFT characters and items,
Cricket Stars,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://play.google.com/store/apps/details?id=com.golivegames.cricketstar,,,,Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Cricket strategy game with a strong grassroots community,
Auto Hero,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://play.google.com/store/apps/details?id=com.anglesgames.auto.shoot.hero&hl=en_US,,https://twitter.com/autoherotezos,,Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,A thrilling side-scroller & 2D platform battle shooter,
Bitmark,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://bitmark.com/,,,,NFTs,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Founded and run Feral File,
ArtMeta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.artmeta.org/,,https://twitter.com/artmetaofficial,,Community,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Bringing digital art into the world,
Coin Blast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://coinblast.fun/,,https://twitter.com/coinblasthq,,Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Social wagering platform with multiple games.,
Here & Now,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://hereandnow.events/,,https://twitter.com/hereandnow_exp,,Community,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Founded by Michael Beets; Here & Now creates artistic immersive experiences and live films.,
TheVerseVerse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://theverseverse.com/,,https://twitter.com/theverseverse,,NFTs; Community,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,theVERSEverse is a poetry NFT gallery where poem = work of art.,
UnicornDAO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://unicorndao.com/,,https://twitter.com/unicorndao_xxx,,Community; NFTs,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Unicorn DAO empowers women and LGBTQ+ individuals by harnessing web3's potential for a more diverse community and collecting their art.,
Tezos Unity SDK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://tezos.com/unity,,https://tezos.com/unity,,Dev Tools; Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Quick & easy SDK for integrating Unity games with Tezos.,
Objkt.one,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://objkt.one/,,https://twitter.com/objktone,,NFTs,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,A curated platform run by Objkt focused on curated 1/1 artworks by artists from across the globe.,
Emergent Properties,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://emprops.ai/,,https://twitter.com/emprops_ai,,NFTs,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Generative+AI art platform and marketplace.,
Sugar Gaming,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.sugarverse.io/,,https://twitter.com/Real_Sugarverse,,Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,A PVP match-3 game built by gaming industry veterans with over 60M downloads in their previous games.,
WAC Lab,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://wac-lab.xyz/,,https://twitter.com/WeAreMuseums,,Education,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,The Web3 Innovation Lab for the Arts & Culture.,
TezFin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://tezos.finance/,,https://twitter.com/TezosFinance,,Defi,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,A decentralized lending protocol enabling users to easily and borrow tokens like XTZ,
Tweed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://paytweed.com/,,https://twitter.com/paytweed,,Defi; NFTs; Gaming,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Create frictionless Web3 Experiences & onboard the world with self-custodial Wallets as a Service and NFT Checkout.,
Billy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.billyapp.live/,,,,Community,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,The web3 event platform to grow and engage your communities.,
TezGov,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.tez.capital/tezgov/,,https://twitter.com/YourGovBuddy,,Baking Tools; Community,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,A Tezos proposal governance and baker tools swiss army knife.,
TezBake,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.tez.capital/tezbake/,,https://twitter.com/YourBakeBuddy,,Baking Tools,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,A Tezos baking tool for both novices and pros.,
TezPay,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.tez.capital/tezpay/,,https://twitter.com/YourPayBuddy,,Baking Tools,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,A Tezos baking payment tool for both novices and pros.,
Altme,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://altme.io/,,https://twitter.com/Altme_io,,Digital Identity,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Altme is a robust decentralized identity (DID) solution.,
GetBlock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://getblock.io/,,https://twitter.com/getblockio,,Dev Tools,,,✅ Found,GetBlock,3475,https://admin.thegrid.id/profiles/?rootId=3475,URL: urlMain,tezos,https://tezos.com/ecosystem/,Blockchain RPC Provider. Simple and reliable API access to Tezos Blockchain,
3Route,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://3route.io/,,https://twitter.com/3route_io,,Defi,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,3Route is a next generation DEXes aggregator that facilitates cost-efficient on-chain transactions across various DEXes in Tezos ecosystem.,
TzKT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://tzkt.io/,,https://twitter.com/TezosBakingBad,,Block Explorers,,,❌ Not found,,,,,tezos,https://tezos.com/ecosystem/,Tezos blockchain explorer and API with high data detalization,
Acurast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://acurast.com/,,https://twitter.com/acurastnetwork,,Dev Tools,,,✅ Found,Acurast,id1740086060--h7Gam5ZRqCERjefBNOH4g,https://admin.thegrid.id/profiles/?rootId=id1740086060--h7Gam5ZRqCERjefBNOH4g,URL: urlMain,tezos,https://tezos.com/ecosystem/,The Universe in Web3 - Data Delivered on Demand,
